# room=440065813_vcom host=192.168.1.195 port=4901
[08:35:06.636][RX] 72782030  |  rx 0
[08:35:28.940][RX] 63757272656e74206368616e6e656c0d0a676574417667527373  |  current channel\r\ngetAvgRss
[08:35:28.941][RX] 692020202020202020202047657420414743205253534920617665726167696e  |  i          Get AGC RSSI averagin
[08:35:28.945][RX] 6720726573756c742e0d0a7365745478546f6e652020202020  |  g result.\r\nsetTxTone     
[08:35:28.946][RX] 202020202020436f6e74726f6c20746f6e65207472616e736d697373696f6e2e  |        Control tone transmission.
[08:35:28.950][RX] 0d0a20202020202020202020202020202020202020205b75696e  |  \r\n                    [uin
[08:35:28.952][RX] 7433325d20303d44697361626c6520313d456e61626c650d0a20202020202020  |  t32] 0=Disable 1=Enable\r\n       
[08:35:28.955][RX] 202020202020202020202020205b75696e7433326f70745d20  |               [uint32opt] 
[08:35:28.957][RX] 616e74656e6e613a205b305d2f310d0a20202020202020202020202020202020  |  antenna: [0]/1\r\n                
[08:35:28.960][RX] 202020205b75696e7433326f70745d206d6f64653a205b305d2f  |      [uint32opt] mode: [0]/
[08:35:28.961][RX] 313d70686173654e6f6973650d0a736574547853747265616d20202020202020  |  1=phaseNoise\r\nsetTxStream       
[08:35:28.964][RX] 2020436f6e74726f6c2073747265616d207472616e736d6973  |    Control stream transmis
[08:35:28.967][RX] 73696f6e2e0d0a20202020202020202020202020202020202020205b75696e74  |  sion.\r\n                    [uint
[08:35:28.970][RX] 33325d20303d44697361626c6520313d456e61626c650d0a2020  |  32] 0=Disable 1=Enable\r\n  
[08:35:28.971][RX] 2020202020202020202020202020202020205b75696e7433326f70745d207374  |                    [uint32opt] st
[08:35:28.975][RX] 7265616d4d6f64653a205b313d504e395d20323d313031302033  |  reamMode: [1=PN9] 2=1010 3
[08:35:28.976][RX] 3d70686173654e6f69736520303d746f6e650d0a202020202020202020202020  |  =phaseNoise 0=tone\r\n            
[08:35:28.980][RX] 20202020202020205b75696e7433326f70745d20616e74656e  |          [uint32opt] anten
[08:35:28.981][RX] 6e613a205b305d2f310d0a737461747573202020202020202020202020202050  |  na: [0]/1\r\nstatus              P
[08:35:28.985][RX] 72696e74207468652063757272656e742073746174757320636f  |  rint the current status co
[08:35:28.988][RX] 756e746572732e0d0a6669666f53746174757320202020202020202020507269  |  unters.\r\nfifoStatus          Pri
[08:35:28.990][RX] 6e74207468652063757272656e74204649464f2d72656c6174  |  nt the current FIFO-relat
[08:35:28.991][RX] 656420636f756e746572732e0d0a7365745478486f6c644f6666202020202020  |  ed counters.\r\nsetTxHoldOff      
[08:35:28.995][RX] 2020436f6e74726f6c207472616e736d697420686f6c642d6f66  |    Control transmit hold-of
[08:35:28.996][RX] 662028626c6f636b696e67206f66207472616e736d697473292e0d0a20202020  |  f (blocking of transmits).\r\n    
[08:35:29.000][RX] 202020202020202020202020202020205b75696e7433325d20  |                  [uint32] 
[08:35:29.001][RX] 303d44697361626c6520313d456e61626c650d0a736574547844656c61792020  |  0=Disable 1=Enable\r\nsetTxDelay  
[08:35:29.005][RX] 20202020202020205365742074686520696e7465722d7061636b  |          Set the inter-pack
[08:35:29.006][RX] 65742064656c617920666f722072657065617465642054582e0d0a2020202020  |  et delay for repeated TX.\r\n     
[08:35:29.010][RX] 2020202020202020202020202020205b75696e7433325d2064  |                 [uint32] d
[08:35:29.011][RX] 656c61794d696c6c697365636f6e64730d0a676574547844656c617920202020  |  elayMilliseconds\r\ngetTxDelay    
[08:35:29.015][RX] 2020202020204765742074686520696e7465722d7061636b6574  |        Get the inter-packet
[08:35:29.016][RX] 206d696c6c697365636f6e642064656c617920666f7220726570656174656420  |   millisecond delay for repeated 
[08:35:29.019][RX] 54582e0d0a73657454785061796c6f6164202020202020202053  |  TX.\r\nsetTxPayload        S
[08:35:29.022][RX] 6574205458207061636b6574207061796c6f616420627974657320666f722066  |  et TX packet payload bytes for f
[08:35:29.024][RX] 7574757265207472616e736d6974732e0d0a20202020202020  |  uture transmits.\r\n       
[08:35:29.027][RX] 202020202020202020202020205b75696e7431365d206f66667365740d0a2020  |               [uint16] offset\r\n  
[08:35:29.030][RX] 2020202020202020202020202020202020205b75696e74386f70  |                    [uint8op
[08:35:29.031][RX] 745d206279746530206279746531202e2e2e0d0a736574547852616e646f6d20  |  t] byte0 byte1 ...\r\nsetTxRandom 
[08:35:29.035][RX] 20202020202020205365742061207370656369666965642072  |          Set a specified r
[08:35:29.037][RX] 616e6765206f6620627974657320696e20746865205478207061636b65742070  |  ange of bytes in the Tx packet p
[08:35:29.040][RX] 61796c6f616420746f20610d0a20202020202020202020202020  |  ayload to a\r\n             
[08:35:29.041][RX] 2020202020202072616e646f6d2076616c75652e2043616c6c20736574547852  |         random value. Call setTxR
[08:35:29.044][RX] 616e646f6d20616761696e20746f2073746f702072616e646f  |  andom again to stop rando
[08:35:29.047][RX] 6d697a696e6720746865207061796c6f61642e0d0a2020202020202020202020  |  mizing the payload.\r\n           
[08:35:29.050][RX] 2020202020202020205b75696e7431366f70745d205374617274  |           [uint16opt] Start
[08:35:29.052][RX] 20496e6465780d0a20202020202020202020202020202020202020205b75696e  |   Index\r\n                    [uin
[08:35:29.055][RX] 7431366f70745d20456e6420496e6465780d0a73657454785061  |  t16opt] End Index\r\nsetTxPa
[08:35:29.056][RX] 796c6f616451756965742020204c696b652073657454785061796c6f61642c20  |  yloadQuiet   Like setTxPayload, 
[08:35:29.060][RX] 627574206c65737320766572626f73652e0d0a202020202020  |  but less verbose.\r\n      
[08:35:29.061][RX] 20202020202020202020202020205b75696e7431365d206f66667365740d0a20  |                [uint16] offset\r\n 
[08:35:29.065][RX] 202020202020202020202020202020202020205b75696e74386f  |                     [uint8o
[08:35:29.068][RX] 70745d206279746530206279746531202e2e2e0d0a73657454784c656e677468  |  pt] byte0 byte1 ...\r\nsetTxLength
[08:35:29.069][RX] 20202020202020202053657420686f77206d75636820646174  |           Set how much dat
[08:35:29.072][RX] 6120746f206c6f616420696e746f20746865205458204649464f20666f722074  |  a to load into the TX FIFO for t
[08:35:29.074][RX] 72616e736d697474696e672e0d0a202020202020202020202020  |  ransmitting.\r\n            
[08:35:29.077][RX] 202020202020202041637475616c207061636b6574206c656e677468206d6179  |          Actual packet length may
[08:35:29.079][RX] 2076617279206261736564206f6e20726164696f20636f6e66  |   vary based on radio conf
[08:35:29.082][RX] 696775726174696f6e2e0d0a2020202020202020202020202020202020202020  |  iguration.\r\n                    
[08:35:29.084][RX] 5b75696e7431365d206c656e67746842797465730d0a7072696e  |  [uint16] lengthBytes\r\nprin
[08:35:29.087][RX] 7454785061636b6574202020202020205072696e74207468652063757272656e  |  tTxPacket       Print the curren
[08:35:29.089][RX] 74205458207061796c6f6164206461746120616e642062797465  |  t TX payload data and byte
[08:35:29.092][RX] 206c656e6774682e0d0a7065656b202020202020202020202020202020205065  |   length.\r\npeek                Pe
[08:35:29.095][RX] 656b20617420746865207374617274206f6620746865207265  |  ek at the start of the re
[08:35:29.098][RX] 6365697665206275666665722e0d0a2020202020202020202020202020202020  |  ceive buffer.\r\n                 
[08:35:29.099][RX] 2020205b75696e7431365d2062797465733a20312d31300d0a20  |     [uint16] bytes: 1-10\r\n 
[08:35:29.102][RX] 202020202020202020202020202020202020205b75696e7431366f70745d206f  |                     [uint16opt] o
[08:35:29.105][RX] 66667365743a205b305d0d0a67657454696d65202020202020  |  ffset: [0]\r\ngetTime      
[08:35:29.108][RX] 20202020202020476574207468652063757272656e74205241494c2074696d65  |         Get the current RAIL time
[08:35:29.109][RX] 20696e206d6963726f7365636f6e64732e0d0a73657454696d65  |   in microseconds.\r\nsetTime
[08:35:29.112][RX] 20202020202020202020202020536574207468652063757272656e7420524149  |               Set the current RAI
[08:35:29.115][RX] 4c2074696d652e0d0a20202020202020202020202020202020  |  L time.\r\n                
[08:35:29.116][RX] 202020205b75696e7433325d2074696d6555730d0a64617461436f6e66696720  |      [uint32] timeUs\r\ndataConfig 
[08:35:29.120][RX] 202020202020202020436f6e74726f6c20746865206461746120  |           Control the data 
[08:35:29.122][RX] 6d6574686f647320666f7220545820616e642052582e0d0a2020202020202020  |  methods for TX and RX.\r\n        
[08:35:29.124][RX] 2020202020202020202020205b737472696e675d2074784d6574  |              [string] txMet
